FINALS RESULTS
Position: 17

Games:        11910

2p Games:     3622   (an extra 247 games against DQ'd players ignored)
Wins:         2490
Losses:       1132

Rushes:       1455
Wins:         1279   (87.9%)
Losses:       176

Non-Rushes:   2167
Wins:         1211   (55.9%)
Losses:       956

--------------------------------------------------
Rush Results Only (2p games, < 10 ships produced):

9691268  O    AzureFractal
9691093  O    ipost
9690872  O    alexander-mol
9690588  O    succcubbus
9690501  O    coleholcomb
9690400  O    klyd3r
9690327  O    ipost
9690048  O    dhallstr
9689922  O    kindanoob
9689673  O    ipost
9689058  O    RyanDraves
9688748  O    reCurs3
9688611  O    ebretl
9688350  O    alexander-mol
9687841  O    alexander-mol
9687527  O    ebretl
9687508    X  kindanoob
9687318  O    klyd3r
9687314  O    kindanoob
9687226  O    kindanoob
9686825  O    Rachol
9686576  O    klyd3r
9686228  O    AzureFractal
9685826  O    spelljack
9685589    X  succcubbus
9685582    X  AzureFractal
9685357    X  Rachol
9683737  O    Rachol
9682942  O    klyd3r
9682483  O    AzureFractal
9681625  O    AzureFractal
9681620  O    RyanDraves
9681296  O    alexander-mol
9681174  O    ewirkerman
9680912  O    klyd3r
9680414    X  RyanDraves
9679957  O    kindanoob
9679857  O    RyanDraves
9679734  O    klyd3r
9679167  O    kindanoob
9679057  O    reCurs3
9678803  O    dhallstr
9678229  O    kindanoob
9678111  O    ipost
9677683  O    ebretl
9677322  O    ipost
9676954  O    RyanDraves
9676809    X  alexander-mol
9676617  O    klyd3r
9676468    X  kindanoob
9676455  O    AzureFractal
9676332  O    RyanDraves
9676164  O    ipost
9676159  O    klyd3r
9675778  O    ipost
9675774  O    dhallstr
9673234  O    klyd3r
9672700  O    kindanoob
9672218  O    kindanoob
9671559  O    klyd3r
9671429  O    klyd3r
9671214  O    RyanDraves
9671155  O    SiestaGuru
9671007    X  RyanDraves
9670927  O    ipost
9670588  O    ipost
9670544  O    kindanoob
9670329    X  alexander-mol
9670276  O    ipost
9670019  O    AzureFractal
9669964  O    ipost
9669888  O    dhallstr
9669735  O    kindanoob
9669423  O    AzureFractal
9668728    X  AzureFractal
9668527  O    ericzhang98
9668523  O    alexander-mol
9668065  O    alexander-mol
9667819  O    mpbuckley
9667686  O    alexander-mol
9667455  O    spelljack
9667231  O    succcubbus
9666928  O    klyd3r
9666440  O    ipost
9666433  O    AzureFractal
9666272  O    succcubbus
9666144  O    klyd3r
9666071  O    alexander-mol
9665781  O    succcubbus
9665536  O    kindanoob
9665209  O    myt00seven
9665139  O    RyanDraves
9664702  O    klyd3r
9664571  O    alexander-mol
9664352  O    ericzhang98
9664213  O    ipost
9663990    X  ebretl
9663946  O    spelljack
9663387  O    ipost
9663091  O    succcubbus
